"long","lat","unique_squirrel_id","shift","date","age","primary_fur_color","activities","interaction","lat_long"
-73.954554245377,40.7983935730557,"41E-AM-1007-05","AM",10072018,"Adult","Gray","climbing","runs away","POINT (-73.954554245377 40.7983935730557)"
-73.9775278847897,40.7687881061059,"3C-AM-1007-02","AM",10072018,"Adult","Gray","running","indifferent","POINT (-73.9775278847897 40.7687881061059)"
-73.9747288122551,40.7659918747507,"2G-PM-1007-03","PM",10072018,"Adult","Gray","foraging","indifferent","POINT (-73.9747288122551 40.7659918747507)"
-73.9765758043111,40.7713803154032,"6C-AM-1007-03","AM",10072018,"Adult","Gray","running","runs away","POINT (-73.9765758043111 40.7713803154032)"
-73.9588809150045,40.7847231576181,"26I-PM-1010-01","PM",10102018,"Adult","Gray","climbing","indifferent","POINT (-73.9588809150045 40.7847231576181)"
-73.9774928245781,40.7720464606979,"6B-AM-1012-02","AM",10122018,"Adult","Gray","foraging","runs away","POINT (-73.9774928245781 40.7720464606979)"
-73.957134662576,40.7872395604122,"30I-PM-1006-07","PM",10062018,"Adult","Cinnamon","foraging","runs away","POINT (-73.957134662576 40.7872395604122)"
-73.9733820053679,40.7687330473562,"5G-PM-1010-05","PM",10102018,"Adult","Gray","eating","approaches","POINT (-73.9733820053679 40.7687330473562)"
-73.9750986553543,40.7740671171292,"10C-AM-1018-03","AM",10182018,"Adult","Gray","foraging","indifferent","POINT (-73.9750986553543 40.7740671171292)"
-73.9716624574422,40.7762037110101,"13D-PM-1018-07","PM",10182018,"Adult","Gray","running","indifferent","POINT (-73.9716624574422 40.7762037110101)"
-73.9773083616259,40.7710535931636,"6B-PM-1017-01","PM",10172018,"Adult","Gray","foraging","approaches","POINT (-73.9773083616259 40.7710535931636)"
-73.9611300905602,40.7918743735665,"32C-PM-1013-07","PM",10132018,"Adult","Gray","eating","indifferent","POINT (-73.9611300905602 40.7918743735665)"
-73.9563662963703,40.7991952101949,"42C-PM-1013-01","PM",10132018,"Adult","Gray","foraging","indifferent","POINT (-73.9563662963703 40.7991952101949)"
-73.9581326554206,40.7918074743129,"34E-PM-1006-02","PM",10062018,"Juvenile","Black","eating","runs away","POINT (-73.9581326554206 40.7918074743129)"
-73.9735655529245,40.7716072681474,"7E-PM-1013-02","PM",10132018,"Adult","Gray","running","runs away","POINT (-73.9735655529245 40.7716072681474)"
-73.9616693665254,40.792971019627,"33B-AM-1010-05","AM",10102018,"Adult","Gray","foraging","runs away","POINT (-73.9616693665254 40.792971019627)"
-73.9599197612389,40.7954836456006,"36B-PM-1013-05","PM",10132018,"Adult","Gray","running","runs away","POINT (-73.9599197612389 40.7954836456006)"
-73.9806805581636,40.7681537966505,"1B-AM-1012-16","AM",10122018,"Adult","Gray","eating","indifferent","POINT (-73.9806805581636 40.7681537966505)"
-73.9727698663722,40.7714335285174,"8F-PM-1012-06","PM",10122018,"Adult","Gray","foraging","indifferent","POINT (-73.9727698663722 40.7714335285174)"
-73.9610985171525,40.7913867116989,"32D-AM-1013-01","AM",10132018,"Adult","Cinnamon","climbing","indifferent","POINT (-73.9610985171525 40.7913867116989)"
-73.9636476467218,40.7775556986702,"18I-AM-1017-01","AM",10172018,"Adult","Cinnamon","eating","indifferent","POINT (-73.9636476467218 40.7775556986702)"
-73.9765269282059,40.7746876635248,"9A-AM-1013-10","AM",10132018,"Juvenile","Cinnamon","climbing","runs away","POINT (-73.9765269282059 40.7746876635248)"
-73.9534910562766,40.7935774443789,"37H-AM-1018-04","AM",10182018,"Adult","Gray","running","runs away","POINT (-73.9534910562766 40.7935774443789)"
-73.9631350020634,40.791907210332,"32B-PM-1010-01","PM",10102018,"Juvenile","Gray","climbing","runs away","POINT (-73.9631350020634 40.791907210332)"
-73.9693772461788,40.7706875892901,"8I-AM-1006-03","AM",10062018,"Adult","Gray","foraging","indifferent","POINT (-73.9693772461788 40.7706875892901)"
-73.9708782966369,40.776946866963,"14D-AM-1014-08","AM",10142018,"Adult","Gray","foraging","indifferent","POINT (-73.9708782966369 40.77694686696301)"
-73.9629184712372,40.7921410511633,"32B-PM-1010-04","PM",10102018,"Adult","Gray","foraging","indifferent","POINT (-73.9629184712372 40.7921410511633)"
-73.972112497276,40.7702759037428,"7G-AM-1010-08","AM",10102018,"Adult","Cinnamon","foraging","indifferent","POINT (-73.972112497276 40.7702759037428)"
-73.9711582199102,40.7783674409485,"15C-PM-1017-05","PM",10172018,"Adult","Gray","running","approaches","POINT (-73.9711582199102 40.7783674409485)"
-73.9542684235907,40.7944237164092,"38G-PM-1020-05","PM",10202018,"Adult","Gray","chasing","indifferent","POINT (-73.9542684235907 40.7944237164092)"
-73.9542770888881,40.7943610366853,"38G-PM-1020-04","PM",10202018,"Adult","Gray","chasing","indifferent","POINT (-73.9542770888881 40.79436103668531)"
-73.9681627331154,40.7785099665602,"17E-PM-1018-02","PM",10182018,"Adult","Gray","running","indifferent","POINT (-73.9681627331154 40.7785099665602)"
-73.9564741038174,40.7938845572816,"36F-AM-1017-03","AM",10172018,"Adult","Gray","eating","runs away","POINT (-73.9564741038174 40.7938845572816)"
-73.9773361580792,40.7729478226715,"7B-AM-1008-13","AM",10082018,"Adult","Gray","running","indifferent","POINT (-73.9773361580792 40.7729478226715)"
-73.9806959248152,40.7684820679479,"2A-AM-1010-01","AM",10102018,"Adult","Gray","eating","indifferent","POINT (-73.9806959248152 40.7684820679479)"
-73.9586077039567,40.7961896477077,"38C-AM-1019-10","AM",10192018,"Adult","Gray","running","runs away","POINT (-73.9586077039567 40.7961896477077)"
-73.9611274898661,40.7915250069086,"32C-AM-1014-05","AM",10142018,"Adult","Cinnamon","eating","indifferent","POINT (-73.9611274898661 40.7915250069086)"
-73.9730085729495,40.7708933570327,"7F-AM-1008-12","AM",10082018,"Adult","Gray","foraging","indifferent","POINT (-73.9730085729495 40.7708933570327)"
